test_name,flakyStatus,assertion-roulette,conditional-test-logic,eager-test,fire-and-forget,indirect-testing,mystery-guest,resource-optimism,test-run-war,numAsserts,numCoveredLines,ExecutionTime,projectSourceLinesCovered,projectSourceClassesCovered,hIndexModificationsPerCoveredLine_window5,hIndexModificationsPerCoveredLine_window10,hIndexModificationsPerCoveredLine_window25,hIndexModificationsPerCoveredLine_window50,hIndexModificationsPerCoveredLine_window75,hIndexModificationsPerCoveredLine_window100,hIndexModificationsPerCoveredLine_window500,hIndexModificationsPerCoveredLine_window10000,num_third_party_libs
org.apache.hadoop.hbase.regionserver.testgetclosestatorbefore.testusingmetaandbinary,1,0,0,0,0,0,0,0,0,0,8,9.854,272,85,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.util.testhtabletokenbucket.testtokenbucketconfig,1,1,0,1,0,0,0,0,0,2,1,0.02,14,4,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.stargate.testscannerresource.testsimplescannerpb,1,1,0,0,0,1,0,0,0,5,19,0.039,152,41,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.testmultiparallelput.testmultiput,1,1,0,0,1,0,0,0,0,4,11,34.854,738,189,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.stargate.testrowresource.testsinglecellgetputxml,1,1,0,0,0,1,0,0,0,4,14,26.718,51,25,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.testversionresource.testgetstorageclusterversionxml,1,1,0,0,0,0,0,0,0,3,7,21.446,32,19,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.testemptymetainfo.testemptymetainfo,1,1,1,0,0,1,0,0,0,2,20,29.444,748,190,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.stargate.auth.testzookeeperauthenticator.testgetplainuser,1,1,0,0,0,1,0,0,0,4,5,0.04,18,7,0,0,0,0,1,1,1,1,0
org.apache.hadoop.hbase.client.testfromclientside.testrowsputbufferedoneflush,1,1,0,0,0,1,0,0,0,2,55,5.531,570,145,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.regionserver.testscanner.testscanandrealconcurrentflush,1,0,0,0,1,1,0,0,0,1,15,8.478,208,63,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.testzookeeper.testregionserversessionexpired,1,0,0,0,1,0,0,0,0,0,27,35.499,835,198,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testvaluefilter,1,0,0,0,0,1,0,0,0,0,62,6.449,129,26,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.client.testremotetable.testgettabledescriptor,1,0,0,0,0,0,0,0,0,1,5,0.19,102,34,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.mapred.testtablemapreduce.testmultiregiontable,1,0,0,0,0,0,0,0,0,0,37,66.63,792,204,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testtableresource.testtablelistxml,1,0,0,0,0,0,0,0,0,1,4,0.116,33,18,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanemptytoapp,1,0,0,0,1,1,0,0,0,0,63,2.429,605,161,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.stargate.testrowresource.testmulticellgetputpb,1,1,0,0,1,1,0,0,0,3,25,0.132,109,25,0,0,0,0,0,1,1,1,1
org.apache.hadoop.hbase.stargate.auth.testhtableauthenticator.testgetadminuser,1,1,0,0,0,1,0,0,0,4,5,0.039,27,5,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.thrift.testthriftserver.testall,1,0,0,0,1,0,0,0,0,0,41,89.89,992,227,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanemptytobba,1,0,0,0,1,1,0,0,0,0,48,2.531,506,133,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testrowfilter,1,0,0,0,0,1,0,0,0,0,55,6.591,122,26,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanobbtoqpp,1,0,0,0,1,1,0,0,0,0,48,4.493,499,133,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanyzytoempty,1,0,0,0,1,1,0,0,0,0,63,2.599,592,160,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.client.testfromclientside.testjiratest1014,1,0,0,0,1,1,0,0,1,0,40,5.302,521,141,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.master.testmastertransitions.testregionclosewhennometahbase2428,1,1,1,0,1,1,0,0,0,2,28,300.043,402,102,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.testscannerresource.testsimplescannerxml,1,1,0,0,0,1,0,0,0,5,20,0.181,61,20,0,0,0,0,0,2,2,2,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanemptytobbb,1,0,0,0,1,1,0,0,0,0,48,2.462,476,129,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.testversionresource.testgetstargateversionpb,1,0,0,0,0,1,0,0,0,1,15,0.858,61,15,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.testscanner.teststoprow,1,1,1,0,1,1,0,0,0,4,10,4.947,192,53,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testrowresource.testurlencodedkey,1,1,0,0,0,1,0,0,0,2,9,0.084,100,30,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanyyytoempty,1,0,0,0,1,1,0,0,0,0,48,2.499,510,136,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.testrowresource.testsinglecellgetputbinary,1,1,1,0,1,1,0,0,0,5,14,0.043,53,14,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.client.testfromclientside.testsinglerowmultiplefamily,1,0,0,0,1,1,0,0,1,0,36,7.123,683,173,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.util.testmergetool.testmergetool,1,1,0,0,0,0,0,0,0,2,13,20.447,309,98,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testfirstkeyonlyfilter,1,0,0,0,0,1,0,0,0,0,7,5.429,53,22,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.client.testadmin.testenabledisableaddcolumndeletecolumn,1,0,0,0,1,1,0,0,0,0,57,0.987,615,146,0,1,1,1,2,2,3,3,0
org.apache.hadoop.hbase.stargate.auth.testzookeeperauthenticator.testgetuserunknown,1,0,0,0,0,0,0,0,0,1,2,18.049,13,7,0,0,0,0,1,1,1,1,0
org.apache.hadoop.hbase.client.testfromclientside.testget_emptytable,1,0,0,0,1,1,0,0,1,1,41,5.282,576,150,0,1,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.teststatusresource.testgetclusterstatusxml,1,0,0,0,0,0,0,0,0,1,2,21.629,36,21,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.test00minicluster.testdfsminicluster,1,0,0,0,0,0,0,0,0,1,1,15.867,6,3,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.client.testfromclientside.testrowsput,1,0,0,0,0,1,0,0,0,1,45,5.32,528,145,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.regionserver.testgetclosestatorbefore.testgetclosestrowbefore2,1,1,1,0,0,1,0,0,0,4,9,4.077,174,54,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanobbtoopp,1,0,0,0,1,1,0,0,0,0,48,2.541,511,136,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.client.testfromclientside.testjiratest861,1,0,0,0,1,1,0,0,1,0,40,5.825,572,152,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.testregionrebalancing.testrebalancing,1,0,0,0,0,1,0,0,0,1,36,55.241,800,193,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.test00minicluster.testhbaseminicluster,1,1,0,0,0,0,0,0,0,2,2,0.022,6,2,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.testgetclosestatorbefore.testgetclosestrowbefore3,1,1,1,0,0,1,0,0,0,15,9,4.419,194,58,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testrowresource.testsinglecellgetjson,1,1,0,0,1,1,0,0,0,3,10,0.284,51,18,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.client.testfromclientside.testmischtablestuff,1,1,0,0,1,1,0,0,1,5,70,15.797,744,168,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testfilterlist,1,0,0,0,0,1,0,0,0,0,23,5.57,79,24,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.master.testmastertransitions.testaddingserverbeforeoldisdead2413,1,0,1,0,0,0,0,0,0,1,26,10.917,911,213,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.regionserver.wal.testhlog.testsplit,1,0,1,1,0,1,0,0,0,0,7,7.49,132,39,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testrowresource.testsinglecellgetputpb,1,1,0,0,0,1,0,0,0,5,15,0.929,114,30,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanopptoempty,1,0,0,0,1,1,0,0,0,0,48,13.575,515,138,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.regionserver.wal.testhlog.testappend,1,1,1,1,0,1,0,0,0,11,14,5.641,110,21,0,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testversionresource.testgetstorageclusterversiontext,1,0,0,0,0,1,0,0,0,1,9,0.027,25,12,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.testscanner.testscanandsyncflush,1,0,0,0,0,0,0,0,0,1,7,11.249,256,78,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testjiratest867,1,1,0,0,0,1,0,0,1,3,36,8.086,595,156,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.stargate.testrowresource.testmulticellgetputxml,1,1,0,0,1,1,0,0,0,3,25,0.119,68,18,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanemptytoempty,1,0,0,0,0,0,0,0,0,0,34,25.579,776,208,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.stargate.testtableresource.testtablelisttext,1,0,0,0,0,0,0,0,0,1,3,27.743,38,18,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.client.testadmin.testtablenotfoundexceptionwithatable,1,0,0,0,1,1,0,0,0,0,36,0.558,423,126,0,1,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.auth.testzookeeperauthenticator.testgetadminuser,1,1,0,0,0,1,0,0,0,4,5,0.055,19,8,0,0,0,0,1,1,1,1,0
org.apache.hadoop.hbase.master.testmastertransitions.testkillrswithopeningregion2482,1,0,1,0,1,1,0,0,0,0,29,8.323,801,186,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.regionserver.testscanner.testracebetweenclientandtimeout,1,0,0,0,1,0,0,0,0,1,8,6.65,178,55,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testschemaresource.testtablecreateanddeletepb,1,1,0,0,0,1,0,0,1,4,29,11.408,139,29,0,0,0,0,0,2,2,2,0
org.apache.hadoop.hbase.regionserver.testwidescanner.testwidescanbatching,1,1,1,0,0,0,0,0,0,3,1,39.408,239,69,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testinclusivestopfilter,1,0,0,0,0,1,0,0,0,0,19,5.692,66,22,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.master.testminimumservercount.testminimumservercount,1,1,0,0,1,1,0,0,0,3,23,50.196,830,199,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testrowsputbufferedmanymanyflushes,1,0,0,0,0,1,0,0,0,1,51,5.364,537,145,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.mapreduce.testtimerangemapred.testtimerangemapred,1,0,0,0,1,0,0,0,0,0,26,1515.478,775,204,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testdeletes,1,1,0,0,0,1,0,0,1,18,39,5.437,579,156,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.client.testfromclientside.testjiratest52,1,0,0,0,1,1,0,0,1,0,34,5.611,541,147,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.master.testregionmanager.testgetfirstmetaregionforregionaftermetasplit,1,1,0,1,0,1,0,0,0,2,38,19.245,700,181,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.regionserver.testhregion.testwriteswhilegetting,1,1,1,1,0,1,0,0,0,2,22,43.301,209,67,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.testscanmultipleversions.testscanmultipleversions,1,1,0,0,0,1,0,0,0,6,46,21.154,742,184,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testfilters,1,1,0,0,0,1,0,0,1,4,37,5.366,539,151,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.mapreduce.testtablemapreduce.testmultiregiontable,1,0,0,0,0,0,0,0,0,0,31,75.437,819,208,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.regionserver.wal.testhlog.testeditadd,1,1,1,1,0,1,0,0,0,9,9,5.654,141,33,0,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testskipfilter,1,0,0,0,0,1,0,0,0,0,8,5.48,58,24,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.client.testadmin.testgettabledescriptor,1,0,0,0,1,1,0,0,0,1,40,0.693,628,158,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.stargate.auth.testhtableauthenticator.testgetdisableduser,1,1,0,0,0,0,0,0,0,4,1,21.467,14,6,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.stargate.testtableresource.testtablelistpb,1,0,0,0,0,1,0,0,0,1,6,0.827,49,15,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.testcompaction.testmajorcompactingtonooutput,1,0,1,0,0,0,0,0,0,1,9,32.285,243,70,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testnofilter,1,0,0,0,0,0,0,0,0,0,3,27.424,58,27,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.testmergemeta.testmergemeta,1,0,0,0,0,1,0,0,0,1,3,46.469,388,90,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.client.testadmin.testforcesplit,1,1,1,0,1,1,0,0,0,4,71,28.068,737,177,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.testinfoservers.testinfoserversareup,1,0,0,0,0,0,0,0,0,0,5,19.279,663,180,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testrowresource.testdelete,1,1,0,0,0,1,0,0,0,7,21,0.161,58,25,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.client.testremotetable.testput,1,1,0,0,0,1,0,0,0,8,35,0.084,122,26,0,0,0,0,0,2,2,2,0
org.apache.hadoop.hbase.regionserver.teststorereconstruction.runreconstructionlog,1,1,0,0,0,0,0,0,0,3,8,13.529,257,72,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.auth.testhtableauthenticator.testgetplainuser,1,1,0,0,0,1,0,0,0,4,5,0.032,24,5,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.wal.testlogrolling.testlogrollondatanodedeath,1,1,1,0,0,1,0,0,0,12,53,63.877,710,173,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.stargate.testversionresource.testgetstorageclusterversionjson,1,0,0,0,0,1,0,0,0,1,11,0.213,32,12,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.io.hfile.testlrublockcache.testbackgroundevictionthread,1,1,0,1,0,1,0,0,0,2,6,1.028,44,11,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.regionserver.testscanner.testfilters,1,0,0,0,0,0,0,0,0,0,7,15.557,250,74,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testsimplemissing,1,0,0,0,1,1,0,0,1,0,38,5.376,545,145,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.stargate.testtableresource.testtablelistjson,1,0,0,0,0,1,0,0,0,1,3,0.234,28,11,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.stargate.client.testremotetable.testdelete,1,1,0,0,0,0,0,0,0,9,8,29.316,107,36,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.testversionresource.testgetstargateversionjson,1,0,0,0,0,0,0,0,0,1,8,0.026,32,18,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.client.testremoteadmin.testcreatetable,1,1,0,1,0,0,0,0,0,2,7,34.855,133,35,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testget_nonexistentrow,1,1,0,0,0,1,0,0,1,2,48,5.287,534,142,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanemptytoopp,1,0,0,0,1,1,0,0,0,0,49,20.993,526,138,0,0,1,1,1,1,3,3,0
org.apache.hadoop.hbase.client.testadmin.testreadonlytable,1,0,0,0,1,1,0,0,0,0,40,0.56,447,131,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.client.testfromclientside.testgetclosestrowbefore,1,1,0,0,0,1,0,0,0,9,61,5.314,562,145,0,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.client.testadmin.testcreatebadtables,1,1,0,0,1,1,0,0,0,4,58,1.125,563,140,0,1,1,1,1,1,3,3,0
org.apache.hadoop.hbase.client.testfromclientside.testhbase737,1,1,0,0,1,1,0,0,1,2,59,10.048,607,155,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.regionserver.wal.testlogrolling.testlogrolling,1,0,0,0,0,0,0,0,0,1,13,65.18,709,190,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testpagefilter,1,0,0,0,0,1,0,0,0,0,32,6.196,77,22,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.testscannerswithfilters.testprefixfilter,1,0,0,0,0,1,0,0,0,0,8,5.98,70,23,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.stargate.teststatusresource.testgetclusterstatuspb,1,0,0,0,0,1,0,0,0,1,9,0.955,113,21,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.client.testfromclientside.testjiratest33,1,0,0,0,0,1,0,0,1,0,38,5.802,593,157,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.client.testadmin.testcreatetable,1,0,0,0,1,1,0,0,0,1,34,0.635,631,159,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.client.testadmin.testtablenameclash,1,0,0,0,1,1,0,0,0,0,37,1.019,415,123,0,1,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.auth.testzookeeperauthenticator.testgetdisableduser,1,1,0,0,0,1,0,0,0,4,5,0.241,21,7,0,0,0,0,1,1,1,1,0
org.apache.hadoop.hbase.regionserver.wal.testhlog.testfindmemstoreswitheditsolderthan,1,1,0,0,0,1,0,0,0,4,9,10.316,67,8,0,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.client.testadmin.testhundredsoftable,1,0,0,0,1,1,0,0,0,0,50,123.857,649,152,0,1,1,1,1,1,3,3,0
org.apache.hadoop.hbase.stargate.testversionresource.testgetstargateversionxml,1,0,0,0,0,1,0,0,0,1,14,0.029,32,11,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.client.testgetrowversions.testgetrowmultipleversions,1,1,0,0,0,0,0,0,0,11,24,53.458,734,191,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.client.testscannertimeout.test2481,1,0,1,0,0,0,0,0,0,1,7,6.92,736,193,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.mapreduce.testtableinputformatscan.testscanyyxtoempty,1,0,0,0,0,0,0,0,0,0,35,5.131,787,208,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.testmergetable.testmergetable,1,0,0,0,0,1,0,0,0,1,2,54.331,772,195,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.stargate.client.testremotetable.testget,1,1,1,0,0,1,0,0,0,28,84,0.131,180,29,0,0,0,0,0,2,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testversionlimits,1,1,0,0,1,0,0,0,1,6,36,5.332,723,189,1,1,1,2,2,2,2,2,0
org.apache.hadoop.hbase.regionserver.teststorefile.testbasichalfmapfile,1,0,0,0,0,0,0,0,0,0,1,5.57,159,41,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.test00minicluster.teststargateservlet,1,0,0,0,0,0,0,0,0,1,1,0.001,5,2,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.stargate.testschemaresource.testtablecreateanddeletexml,1,1,0,0,0,0,0,0,1,4,17,32.947,63,23,0,0,0,0,1,2,2,2,0
org.apache.hadoop.hbase.client.testadmin.testcreatetablewithregions,1,1,0,0,1,1,0,0,0,44,145,7.309,690,145,0,1,1,1,1,1,3,3,0
org.apache.hadoop.hbase.regionserver.teststorefile.testreference,1,1,1,1,0,0,0,0,0,2,1,9.794,151,40,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.testscannerresource.testfulltablescan,1,1,0,0,0,1,0,0,1,2,10,12.651,124,33,0,0,0,0,0,2,2,2,0
org.apache.hadoop.hbase.stargate.client.testremoteadmin.testdeletetable,1,1,0,1,0,0,0,0,0,2,9,10.25,47,13,0,0,0,0,0,2,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testversions,1,0,0,0,1,1,0,0,1,0,39,7.155,617,162,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testisdeleted_notdeleted,1,1,0,1,0,0,0,0,0,2,7,0.079,22,6,0,0,0,0,0,0,2,2,0
org.apache.hadoop.hbase.client.testfromclientside.testjiratest1182,1,0,0,0,0,1,0,0,1,0,38,5.753,588,156,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.testcompare.testhregioninfo,0,1,0,0,0,1,0,0,0,8,20,0.968,61,13,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.testzookeeper.testmultiplezk,0,1,0,0,0,0,0,0,0,3,10,0.139,444,120,1,1,1,2,2,2,3,3,0
org.apache.hadoop.hbase.filter.testsinglecolumnvaluefilter.teststop,0,0,0,0,0,0,0,0,0,0,3,0.034,18,9,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.auth.testjdbcauthenticator.testgetadminuser,0,1,0,0,0,1,0,0,1,4,5,0.008,14,3,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.testhmsg.testserialization,0,1,0,0,0,1,0,0,0,2,14,1.182,84,16,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.stargate.model.testcellsetmodel.testbuildmodel,0,0,0,0,0,0,0,0,0,0,0,0.016,11,4,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testupdate,0,1,1,1,0,1,0,0,0,11,21,0.842,64,9,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.regionserver.testhregion.testbasicsplit,0,0,1,1,0,1,0,0,0,1,15,15.841,235,71,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.io.hfile.testlrublockcache.testcacheevictionsimple,0,1,0,1,0,1,0,0,0,7,9,0.017,20,9,0,0,1,1,1,1,1,1,0
org.apache.hadoop.hbase.regionserver.teststorescanner.testdeleteversionsametimestamp,0,1,0,0,0,1,0,0,0,2,7,0,42,19,0,0,1,1,1,1,1,1,0
org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testisdeleted_delete,0,0,0,1,0,0,0,0,0,1,5,0.087,20,6,0,0,1,1,1,1,2,2,0
org.apache.hadoop.hbase.testserialization.testregioninfo,0,1,0,0,0,1,0,0,0,2,9,0.058,41,12,0,0,0,0,0,0,1,1,0
org.apache.hadoop.hbase.filter.testfilter.testvaluefilter,0,0,0,0,0,1,0,0,0,0,17,0.465,230,66,1,1,1,1,1,1,2,2,0
org.apache.hadoop.hbase.regionserver.testscandeletetracker.testdeletedby_deletecolumn,0,0,0,1,0,1,0,0,0,1,6,0.887,24,7,0,0,0,0,1,1,1,1,0
org.apache.hadoop.hbase.regionserver.testkeyvalueskiplistset.testiterator,0,1,0,0,0,1,0,0,0,6,13,0.01,38,8,0,0,0,0,1,1,1,1,0
org.apache.hadoop.hbase.stargate.model.testrowmodel.testfromxml,0,0,0,0,0,0,0,0,0,0,0,0.278,5,3,0,0,0,0,0,1,1,1,0
org.apache.hadoop.hbase.regionserver.testgetdeletetracker.testisdeleted_deletecolumn,0,0,0,1,0,0,0,0,0,1,5,0.057,20,6,0,0,0,0,0,0,2,2,0
